,PriceUpdateDate,ItemCode,ItemType,ItemNm,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,Location
91,2022-02-28 13:15:00,7290006664402,1,גבינה  5% שומן  750  ג' שטראוס,לא ידוע,לא ידוע,גבינה  5% שומן  750  ג' שטראוס,יחידה,1,יחידה,0,6.0000,13.6,13.6000,0,1,16 עכו
92,2022-02-28 13:10:00,7290008461283,1,גבינה טריפל צ'דר 200 ג',לא ידוע,לא ידוע,גבינה טריפל צ'דר 200 ג',יחידה,1,יחידה,0,24.0000,21.9,21.9000,0,1,16 עכו
93,2022-02-28 13:15:00,7290008593168,1,גבינה ג'ת 400 ג',לא ידוע,לא ידוע,גבינה ג'ת 400 ג',יחידה,1,יחידה,0,0.0000,19.9,19.9000,0,1,16 עכו
94,2022-02-28 13:15:00,7290008593595,1,גבינה מלוחה במי מלח ג'ת 400 ג',לא ידוע,לא ידוע,גבינה מלוחה במי מלח ג'ת 400 ג',יחידה,1,יחידה,0,0.0000,22.9,22.9000,0,1,16 עכו
95,2022-02-28 13:15:00,7290008593700,1,גבינה ערבית ג'ת 700 ג',לא ידוע,לא ידוע,גבינה ערבית ג'ת 700 ג',יחידה,1,יחידה,0,0.0000,36.9,36.9000,0,1,16 עכו
96,2022-02-28 13:15:00,7290008693134,1,מעדן גבינה ויוגורט בטעם תות 5% שומן 88 ג' דניאלה,לא ידוע,לא ידוע,מעדן גבינה ויוגורט בטעם תות 5% שומן 88 ג' דניאלה,יחידה,1,יחידה,0,24.0000,3.9,3.9000,0,1,16 עכו
97,2022-02-28 13:10:00,7290008752435,1,צ'יטוס קראנצי גבינה עלית 30 ג',לא ידוע,לא ידוע,צ'יטוס קראנצי גבינה עלית 30 ג',יחידה,1,יחידה,0,0.0000,2,2.0000,0,1,16 עכו
98,2022-02-28 13:15:00,7290010426010,1,גבינה ערבית  800 ג' אלרוחה,לא ידוע,לא ידוע,גבינה ערבית  800 ג' אלרוחה,יחידה,1,יחידה,0,0.0000,34.9,34.9000,0,1,16 עכו
99,2022-02-28 13:15:00,7290010426027,1,גבינה ערבית מקורית  800 ג' אלרוחה,לא ידוע,לא ידוע,גבינה ערבית מקורית  800 ג' אלרוחה,יחידה,1,יחידה,0,0.0000,35,35.0000,0,1,16 עכו
100,2022-02-28 13:15:00,7290010426034,1,גבינה מתוקה  400 ג' אלרוחה,לא ידוע,לא ידוע,גבינה מתוקה  400 ג' אלרוחה,יחידה,1,יחידה,0,0.0000,22.9,22.9000,0,1,16 עכו
